Date,Name,Year,Letterboxd URI,Rating
2020-01-13,Cats,2019,https://boxd.it/jydK,2
2020-01-13,Bad Times at the El Royale,2018,https://boxd.it/fSA2,3
2020-01-15,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,4
2020-01-16,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,3
2020-01-17,American Beauty,1999,https://boxd.it/71Y,3
2020-01-17,American Psycho,2000,https://boxd.it/28Vs,5
2020-01-18,The Irishman,2019,https://boxd.it/dYOq,3
2020-02-05,The Mule,2018,https://boxd.it/idcY,3
2020-02-15,Pineapple Express,2008,https://boxd.it/1WRS,3.5
2020-02-21,Good Time,2017,https://boxd.it/fcFu,5
2020-03-23,Pet Sematary,2019,https://boxd.it/4W0q,2
2020-03-23,Sorry to Bother You,2018,https://boxd.it/f21E,5
2020-03-28,The Wicker Man,1973,https://boxd.it/1KnG,2
2020-04-08,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,2
2020-04-12,Rosemary's Baby,1968,https://boxd.it/29zM,4
2020-04-12,The Many Adventures of Winnie the Pooh,1977,https://boxd.it/7l0Y,4
2020-04-22,Uncut Gems,2019,https://boxd.it/gXGc,4
2020-05-05,Kill Bill: Vol. 1,2003,https://boxd.it/70w,4
2020-07-05,Clueless,1995,https://boxd.it/1Ygk,3
2020-07-05,Spirited Away,2001,https://boxd.it/2b4m,4
2020-07-05,Billionaire Boys Club,2018,https://boxd.it/dqUY,1.5
2020-07-05,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O,3
2020-07-08,"Tiger King: Murder, Mayhem and Madness",2020,https://boxd.it/pzj2,2.5
2020-07-17,Superbad,2007,https://boxd.it/20hO,4
2020-07-17,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4
2020-07-17,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,3.5
2020-07-22,mid90s,2018,https://boxd.it/fxIa,4
2020-07-25,Hereditary,2018,https://boxd.it/hNVe,3
2020-09-16,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2020-09-16,The Shining,1980,https://boxd.it/29Nu,3.5
2020-09-16,The Wolf of Wall Street,2013,https://boxd.it/3C1m,3
2020-09-16,Call Me by Your Name,2017,https://boxd.it/dYmm,2.5
2020-09-16,The Silence of the Lambs,1991,https://boxd.it/2aHW,4
2020-09-16,Us,2019,https://boxd.it/gnV6,3
2020-09-16,It,2017,https://boxd.it/bC8e,3
2020-09-16,Bohemian Rhapsody,2018,https://boxd.it/f1TK,2
2020-09-16,Donnie Darko,2001,https://boxd.it/2b2A,5
2020-09-16,"I, Tonya",2017,https://boxd.it/dzR0,4
2020-09-16,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,5
2020-09-16,Okja,2017,https://boxd.it/dvXe,4
2020-09-16,The Birds,1963,https://boxd.it/2a6m,3
2020-09-16,The Room,2003,https://boxd.it/1ICY,1.5
2020-10-23,Big Time Adolescence,2019,https://boxd.it/jFke,3.5
2020-10-23,A Haunted House,2013,https://boxd.it/4sOU,0.5
2020-10-23,"Elvira, Mistress of the Dark",1988,https://boxd.it/22LG,3.5
2020-10-24,Get Out,2017,https://boxd.it/eOCm,3
2020-10-24,Black Panther,2018,https://boxd.it/8MHs,3
2020-10-24,Dunkirk,2017,https://boxd.it/d0Y6,3.5
2020-10-24,Deadpool,2016,https://boxd.it/9fOC,1
2020-10-24,A Quiet Place,2018,https://boxd.it/fVJQ,3
2020-10-24,Zodiac,2007,https://boxd.it/27MO,4
2020-10-24,Iron Man,2008,https://boxd.it/28dA,3.5
2020-10-24,Borat Subsequent Moviefilm,2020,https://boxd.it/rNS0,2
2020-10-26,Scary Movie 5,2013,https://boxd.it/24AU,1.5
2020-10-27,Isle of Dogs,2018,https://boxd.it/dZrW,4.5
2020-11-02,Beetlejuice,1988,https://boxd.it/24QI,4
2020-11-02,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,1.5
2020-11-30,Being Charlie,2015,https://boxd.it/cajg,4
2020-12-25,Ponyo,2008,https://boxd.it/1S0A,4
2021-01-02,The Dark Knight Rises,2012,https://boxd.it/H3m,3
2021-01-04,Batman Begins,2005,https://boxd.it/2aIg,3.5
2021-01-10,Spree,2020,https://boxd.it/oiiO,2
2021-01-16,Leaving Neverland,2019,https://boxd.it/l53U,3.5
2021-01-16,Night Stalker: The Hunt for a Serial Killer,2021,https://boxd.it/teee,4
2021-01-23,The Muppets,2011,https://boxd.it/1zg,4
2021-02-05,Diary of a Wimpy Kid: Rodrick Rules,2011,https://boxd.it/gm2,3
2021-04-02,Bad Trip,2021,https://boxd.it/lgRG,3
2021-04-02,The Devil All the Time,2020,https://boxd.it/i2tY,4.5
2021-04-15,Killer Inside: The Mind of Aaron Hernandez,2020,https://boxd.it/oIYw,3
2021-04-28,The Dark Knight,2008,https://boxd.it/2b0k,4.5
2021-04-28,Avengers: Infinity War,2018,https://boxd.it/9vEe,3.5
2021-04-28,Captain America: Civil War,2016,https://boxd.it/89Ja,3
2021-04-28,Spider-Man: Far from Home,2019,https://boxd.it/fegG,3
2021-05-22,Knives Out,2019,https://boxd.it/jWEA,3.5
2021-05-24,Soul,2020,https://boxd.it/ioLA,4
2021-05-24,My Neighbor Totoro,1988,https://boxd.it/20eA,4
2021-07-18,Loki,2021,https://boxd.it/sbHg,3
2021-07-25,The Confession Killer,2019,https://boxd.it/ooKE,3
2021-08-07,The Suicide Squad,2021,https://boxd.it/fw6O,3
2021-08-15,Free Guy,2021,https://boxd.it/k8dm,2
2021-08-23,Space Jam: A New Legacy,2021,https://boxd.it/dd9A,2
2021-09-18,Boogie Nights,1997,https://boxd.it/23um,4.5
2021-10-30,School of Rock,2003,https://boxd.it/28xK,4
2021-11-04,Scream,1996,https://boxd.it/24EC,3.5
2021-11-05,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q,4
2021-11-05,The Machinist,2004,https://boxd.it/248c,4
2021-11-12,21 Jump Street,2012,https://boxd.it/J0,3
2021-12-19,Friday the 13th,1980,https://boxd.it/24fs,2.5
2021-12-23,The Bling Ring,2013,https://boxd.it/3lPY,3
2021-12-25,Encanto,2021,https://boxd.it/kPRu,3.5
2021-12-25,"tick, tick...BOOM!",2021,https://boxd.it/jz2e,4
2021-12-29,The Social Network,2010,https://boxd.it/17ue,4.5
2021-12-29,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,3
2021-12-29,Finding Nemo,2003,https://boxd.it/72i,4
2021-12-29,Jaws,1975,https://boxd.it/2a5e,4
2021-12-29,Suicide Squad,2016,https://boxd.it/9row,1.5
2021-12-29,Thor,2011,https://boxd.it/1WQU,2
2021-12-29,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ,3
2021-12-29,Juno,2007,https://boxd.it/210a,3.5
2021-12-29,Eighth Grade,2018,https://boxd.it/hDMG,4.5
2021-12-29,The Babadook,2014,https://boxd.it/77xu,3
2021-12-29,Labyrinth,1986,https://boxd.it/1POC,3.5
2021-12-29,Joker,2019,https://boxd.it/h4cS,3
2021-12-30,The Amazing Spider-Man,2012,https://boxd.it/27PI,3
2021-12-30,Edward Scissorhands,1990,https://boxd.it/2aZc,4
2021-12-30,Lady Bird,2017,https://boxd.it/dGNE,3.5
2021-12-30,The Fly,1986,https://boxd.it/1YIe,3
2021-12-31,Red Rocket,2021,https://boxd.it/sGpi,4
2021-12-31,The Falcon and the Winter Soldier,2021,https://boxd.it/sbH6,3
2021-12-31,Nightcrawler,2014,https://boxd.it/780m,3.5
2022-01-03,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,3.5
2022-01-03,Kiki's Delivery Service,1989,https://boxd.it/1JAY,3.5
2022-01-03,WandaVision,2021,https://boxd.it/sbGW,3
2022-01-03,Tenet,2020,https://boxd.it/leq4,4.5
2022-01-03,The Florida Project,2017,https://boxd.it/dMG0,4.5
2022-01-03,Jojo Rabbit,2019,https://boxd.it/iEBG,4.5
2022-01-03,Inglourious Basterds,2009,https://boxd.it/1JzG,4
2022-01-03,Spider-Man: Homecoming,2017,https://boxd.it/aboM,2.5
2022-01-03,The Guilty,2021,https://boxd.it/kOPW,4
2022-01-03,Spider-Man 2,2004,https://boxd.it/2a88,4
2022-01-03,Murder Among the Mormons,2021,https://boxd.it/u93W,3.5
2022-01-03,Bo Burnham: Inside,2021,https://boxd.it/v2uy,3
2022-01-03,"Yes, God, Yes",2019,https://boxd.it/jaGS,3.5
2022-01-03,Dirty Dancing,1987,https://boxd.it/2baY,3.5
2022-01-03,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,3
2022-01-03,The French Dispatch,2021,https://boxd.it/jLP8,3
2022-01-03,Grease,1978,https://boxd.it/29YW,3
2022-01-03,Ghost,1990,https://boxd.it/2aLE,3.5
2022-01-03,Surviving R. Kelly,2019,https://boxd.it/l2ao,3.5
2022-01-03,Black Widow,2021,https://boxd.it/hWV8,3
2022-01-03,Hamilton,2020,https://boxd.it/kmvE,3
2022-01-03,Daniel Sloss: X,2019,https://boxd.it/nEGQ,3
2022-01-03,Booksmart,2019,https://boxd.it/igNS,3.5
2022-01-03,Don't F**k with Cats: Hunting an Internet Killer,2019,https://boxd.it/oqjq,3
2022-01-04,Avengers: Endgame,2019,https://boxd.it/9vE4,3
2022-01-11,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4.5
2022-02-07,The Secret World of Arrietty,2010,https://boxd.it/AF4,4
2022-03-02,Palm Springs,2020,https://boxd.it/lCXQ,3.5
2022-03-03,A Clockwork Orange,1971,https://boxd.it/2aVE,4
2022-03-04,The Lighthouse,2019,https://boxd.it/icFU,4.5
2022-03-08,Fresh,2022,https://boxd.it/tCNi,3.5
2022-03-09,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,3
2022-03-10,Prisoners,2013,https://boxd.it/4E5i,4.5
2022-03-11,Parasite,2019,https://boxd.it/hTha,4.5
2022-03-12,Black Swan,2010,https://boxd.it/Sw0,4
2022-03-13,Baby Driver,2017,https://boxd.it/bhF2,4
2022-03-13,Django Unchained,2012,https://boxd.it/2cCk,5
2022-03-14,Christine,1983,https://boxd.it/1ZRQ,3
2022-03-17,Willy's Wonderland,2021,https://boxd.it/nTcG,2.5
2022-03-18,The Great Muppet Caper,1981,https://boxd.it/1N9i,4
2022-03-25,The Exorcist,1973,https://boxd.it/1Yoo,3.5
2022-03-26,The Edge of Seventeen,2016,https://boxd.it/d5nu,3
2022-03-30,Howl's Moving Castle,2004,https://boxd.it/23De,4
2022-03-31,The Tinder Swindler,2022,https://boxd.it/yMLw,3
2022-04-01,Flower,2017,https://boxd.it/eTZA,2.5
2022-04-03,The Lego Batman Movie,2017,https://boxd.it/azp0,4
2022-04-11,Bad Vegan: Fame. Fraud. Fugitives.,2022,https://boxd.it/zQPk,3
2022-05-12,Scooby-Doo 2: Monsters Unleashed,2004,https://boxd.it/1UPA,3
2022-05-12,Chicago,2002,https://boxd.it/28zm,3.5
2022-05-21,House of Gucci,2021,https://boxd.it/nVkC,3.5
2022-05-26,The Batman,2022,https://boxd.it/eDGs,4.5
2022-05-27,The Matrix,1999,https://boxd.it/2a1m,4
2022-05-27,Stand by Me,1986,https://boxd.it/2aOe,4.5
2022-05-27,Pee-wee's Big Holiday,2016,https://boxd.it/bFpW,3
2022-05-29,The Ring,2002,https://boxd.it/2a70,3
2022-06-19,The Muppet Movie,1979,https://boxd.it/1UrS,4.5
2022-06-21,Muppet Treasure Island,1996,https://boxd.it/1VaS,3.5
2022-06-24,The Muppets Take Manhattan,1984,https://boxd.it/1SP4,4
2022-06-24,Muppets Haunted Mansion,2021,https://boxd.it/vaTw,3.5
2022-07-11,Thor: Love and Thunder,2022,https://boxd.it/mMAY,3
2022-07-12,Girl in the Picture,2022,https://boxd.it/BkBk,3
2022-07-24,Minions: The Rise of Gru,2022,https://boxd.it/fz9w,3
2022-08-17,Licorice Pizza,2021,https://boxd.it/qTKY,4
2022-08-20,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,4
2022-08-21,On the Count of Three,2021,https://boxd.it/tbfI,3.5
2022-08-23,Incarnate,2016,https://boxd.it/75Ye,2
2022-08-28,Catch Me If You Can,2002,https://boxd.it/29VS,3.5
2022-09-01,Our Father,2022,https://boxd.it/Am5e,2.5
2022-09-12,Twilight,2008,https://boxd.it/1Zui,3.5
2022-09-12,The Twilight Saga: Breaking Dawn - Part 2,2012,https://boxd.it/DdC,3
2022-09-12,The Twilight Saga: Breaking Dawn - Part 1,2011,https://boxd.it/DdM,3
2022-09-20,Elvis,2022,https://boxd.it/mK4w,3
2022-09-25,Don't Worry Darling,2022,https://boxd.it/mViu,3
2022-09-26,Pearl,2022,https://boxd.it/zPbe,4.5
2022-10-05,X,2022,https://boxd.it/sxVa,4
2022-11-26,Eyes Wide Shut,1999,https://boxd.it/2axs,4
2022-11-27,Weird: The Al Yankovic Story,2022,https://boxd.it/yYZA,3.5
2022-11-30,My Policeman,2022,https://boxd.it/rVmQ,3.5
2022-12-09,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,4
2022-12-19,Avatar: The Way of Water,2022,https://boxd.it/2E2E,4
2022-12-19,Home Alone,1990,https://boxd.it/29Fg,3
2022-12-23,The Muppet Christmas Carol,1992,https://boxd.it/1WgC,3.5
2022-12-24,Glass Onion,2022,https://boxd.it/oCkK,4
2022-12-25,How the Grinch Stole Christmas!,1966,https://boxd.it/1Qj6,3.5
2022-12-25,BoJack Horseman Christmas Special,2014,https://boxd.it/lm6c,3
2022-12-25,Scrooged,1988,https://boxd.it/1Y9e,3.5
2022-12-29,Dahmer – Monster: The Jeffrey Dahmer Story,2022,https://boxd.it/CRG0,3.5
2023-01-01,Nope,2022,https://boxd.it/sDCe,4
2023-01-03,Amsterdam,2022,https://boxd.it/oJ58,3
2023-01-07,M3GAN,2022,https://boxd.it/jxmG,3.5
2023-01-16,Jennifer's Body,2009,https://boxd.it/1Efw,3.5
2023-01-26,Hot Rod,2007,https://boxd.it/1X9C,3.5
2023-01-27,Skinamarink,2022,https://boxd.it/ByDO,2.5
2023-01-27,The King of Staten Island,2020,https://boxd.it/litG,3
2023-01-28,The Lobster,2015,https://boxd.it/7tnw,4
2023-02-04,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,3.5
2023-02-06,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4.5
2023-02-09,80 for Brady,2023,https://boxd.it/zz3e,4
2023-02-17,Infinity Pool,2023,https://boxd.it/oPSK,4
2023-02-26,Cocaine Bear,2023,https://boxd.it/ugw2,3
2023-03-03,Rango,2011,https://boxd.it/QPk,3
2023-03-17,The Twilight Saga: New Moon,2009,https://boxd.it/1Hj2,3.5
2023-04-08,Shark Tale,2004,https://boxd.it/1VYe,3.5
2023-04-15,Renfield,2023,https://boxd.it/o8vy,3.5
2023-05-01,Beau Is Afraid,2023,https://boxd.it/u2gE,3
2023-06-02,The Twilight Saga: Eclipse,2010,https://boxd.it/1ytW,4
2023-06-15,The Jinx: The Life and Deaths of Robert Durst,2015,https://boxd.it/aqAe,4
2023-06-15,I'll Be Gone in the Dark,2020,https://boxd.it/qX9s,3.5
2023-06-15,Thought Crimes,2015,https://boxd.it/aZkg,3
2023-06-16,The Curious Case of Natalia Grace,2023,https://boxd.it/GY4g,3
2023-06-19,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,4.5
2023-06-19,Black Mirror: Joan Is Awful,2023,https://boxd.it/GWmi,3
2023-06-19,Black Mirror: Loch Henry,2023,https://boxd.it/H7Pg,3
